track_id,track_names,artist_ids,artist_names,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
3SWqGa1J0M7hSBUDM0KePD,Legend,2q3GG88dVwuQPF4FmySr9I,The Score,2017-10-13,75,0.601,0.757,2,-3.341,1,0.028,0.0139,8.85e-05,0.0727,0.462,82.001,3.15,4
3z8h0TU7ReDPLIbEnYhWZb,Bohemian Rhapsody,1dfeR4HaWDbWqFHLkxsg1d,Queen,2018-10-19,75,0.39,0.397,0,-9.963,0,0.0513,0.287,0.0,0.207,0.246,144.031,5.92,4
0quum0TSd0de8jjpILY2xi,Brawl Stars (Menu Remix V5),43iexp0Suf11TFpvR4OdPh,Hatkuvi,2020-07-06,28,0.522,0.749,5,-9.181,0,0.0278,0.000391,0.872,0.14,0.274,119.974,2.74,4
1sWeSMifj6Z6kZyI6z3bRc,Warriors,53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,2015-05-18,75,0.365,0.851,4,-6.238,0,0.0645,0.0964,0.003,0.237,0.309,78.086,2.85,4
5CQ30WqJwcep0pYcV4AMNc,Stairway to Heaven - Remaster,36QJpDe2go2KgaRleHCDTp,Led Zeppelin,1971-11-08,81,0.338,0.34,9,-12.049,0,0.0339,0.58,0.0032,0.116,0.197,82.433,8.05,4
1f3yAtsJtY87CTmM8RLnxf,Smells Like Teen Spirit,6olE6TJLqED3rqDCT0FyPh,Nirvana,1991-09-26,66,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,5.03,4
7oTQ4d0UJeH8LOyvpfd5uW,I’m So Sorry,53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,2015-05-18,66,0.528,0.687,2,-5.954,0,0.0532,0.144,0.0,0.251,0.423,142.605,3.84,4
04aAxqtGp5pv12UXAg4pkq,Centuries,4UXqAaa6dQYAk18Lv7PEgX,Fall Out Boy,2015-01-20,82,0.393,0.858,4,-2.868,0,0.0729,0.00359,0.0,0.102,0.56,176.042,3.81,4
78lgmZwycJ3nzsdgmPPGNx,Immigrant Song - Remaster,36QJpDe2go2KgaRleHCDTp,Led Zeppelin,1970-01-01,79,0.564,0.932,11,-10.068,1,0.0554,0.013,0.169,0.349,0.619,112.937,2.44,4
5vdp5UmvTsnMEMESIF2Ym7,Another One Bites The Dust - Remastered 2011,1dfeR4HaWDbWqFHLkxsg1d,Queen,1980-06-27,84,0.933,0.528,5,-6.472,0,0.161,0.112,0.312,0.163,0.754,109.967,3.58,4
4pbJqGIASGPr0ZpGpnWkDn,We Will Rock You - Remastered 2011,1dfeR4HaWDbWqFHLkxsg1d,Queen,1977-10-28,80,0.692,0.497,2,-7.316,1,0.119,0.676,0.0,0.259,0.475,81.308,2.03,4
1lCRw5FEZ1gPDNPzy1K4zW,We Are The Champions - Remastered 2011,1dfeR4HaWDbWqFHLkxsg1d,Queen,1977-10-28,77,0.268,0.459,10,-6.94,1,0.0346,0.378,0.0,0.118,0.175,64.177,2.99,4
